Journal Name,Publisher,APC,Review Time,Scopus Status,Source URL
Journal of Indian Orthodontic Society,SAGE Publishing,No APC (DOAJ),Not Available,Not Indexed,https://journals.sagepub.com/home/jio
Indian Journal of Allergy Asthma and Immunology,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,https://www.ijaai.in/
Hamdan Medical Journal,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.hamdanjournal.org/
Indian Journal of Respiratory Care,Wolters Kluwer Medknow Publications,No APC (DOAJ),Not Available,Not Indexed,https://www.ijrc.in/
TNOA Journal of Ophthalmic Science and Research,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.tnoajosr.com/
Annals of Cardiac Anaesthesia,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Source File),http://www.annals.in/
Heart Views,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.heartviews.org/
Brain Circulation,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.braincirculation.org/
Acta Medica International,Wolters Kluwer Medknow Publications,Not Available,Not Available,Not Indexed,http://www.actamedicainternational.com/aboutus.asp
Journal of Pharmaceutical Analysis,Elsevier,  (DOAJ),Not Available,Indexed (Source File),http://www.journals.elsevier.com/journal-of-pharmaceutical-analysis/
Journal of Taibah University Medical Sciences,Elsevier,  (DOAJ),Not Available,Indexed (Source File),http://www.journals.elsevier.com/journal-of-taibah-university-medical-sciences/
Revista de Gastroenterología de México (English Edition),Elsevier,  (DOAJ),Not Available,Not Indexed,https://www.journals.elsevier.com/revista-de-gastroenterologia-de-mexico-english-edition/
Telangana Journal of Psychiatry,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,https://tjpipstsb.org/
Indian Journal of Rheumatology,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Source File),http://www.indianjrheumatol.com/
Archives of Trauma Research,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,https://www.archtrauma.com/
Journal of the Scientific Society,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://jscisociety.com/
Cancer Translational Medicine,Wolters Kluwer Medknow Publications,  (DOAJ),Not Available,Not Indexed,http://www.cancertm.com/
Bali Journal of Anesthesiology,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Source File),https://www.bjoaonline.com/
Saudi Journal of Anaesthesia,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Source File),http://saudija.org/
Journal of Clinical and Scientific Research,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,https://www.jcsr.co.in/
Journal of Limb Lengthening & Reconstruction,Wolters Kluwer Medknow Publications,  (DOAJ),Not Available,Not Indexed,http://www.jlimblengthrecon.org/
Annals of Thoracic Medicine,Wolters Kluwer Medknow Publications,No APC (DOAJ),Not Available,Indexed (Source File),http://www.thoracicmedicine.org/
Promotion de la santé et prévention des maladies chroniques au Canada,Agence de la santé publique du Canada,No APC (DOAJ),Not Available,Not Indexed,https://www.canada.ca/fr/sante-publique/services/rapports-publications/promotion-sante-prevention-maladies-chroniques-canada-recherche-politiques-pratiques.html
Indian Journal of Anaesthesia,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Source File),http://www.ijaweb.org/
Indian Journal of Urology,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Source File),http://www.indianjurol.com/
Journal of Head & Neck Physicians and Surgeons,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.jhnps.org/
International Journal of Noncommunicable Diseases,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.ijncd.org/
Journal of the Practice of Cardiovascular Sciences,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.j-pcs.org/
Journal of Current Research in Scientific Medicine,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.jcrsmed.org/
Ancient Science of Life,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://ancientscienceoflife.org/
Journal of Optometry,Elsevier,  (DOAJ),first decision 5 days,Indexed (Source File),http://www.journalofoptometry.org/en
Journal of Medical Evidence,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,https://www.journaljme.org/
International Journal of the Cardiovascular Academy,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.ijcva.com/aboutus.asp
Journal of Cancer Research and Practice,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.ejcrp.org/
Journal of Indian Society of Periodontology,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Source File),http://www.jisponline.com/
Indian Spine Journal,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Source File),https://www.isjonline.com/
Saudi Journal of Medicine and Medical Sciences,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Source File),http://www.sjmms.net/
Turkish Journal of Emergency Medicine,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Website),https://www.turkjemergmed.com/
Annals of Indian Academy of Neurology,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Source File),http://www.annalsofian.org/
Saudi Journal for Health Sciences,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.saudijhealthsci.org/
Journal of Anaesthesiology Clinical Pharmacology,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Source File),http://www.joacp.org/
مجلة المستنصرية الطبية,Wolters Kluwer Medknow Publications,Not Available,Not Available,Not Indexed,http://www.mmjonweb.org/
Journal of Postgraduate Medicine,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Source File),http://www.jpgmonline.com/
Journal of Obstetric Anaesthesia and Critical Care,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.joacc.com/
Endodontology,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Source File),http://www.endodontologyonweb.org/
Journal of Dental Research and Review,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.jdrr.org/
Scientific Dental Journal,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.scidentj.com/
Vascular Investigation and Therapy,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,https://www.vitonline.org/
Asian Pacific Journal of Tropical Biomedicine,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Source File),http://www.apjtb.org/
The Journal of Association of Chest Physicians,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.jacpjournal.org/
Journal of Mahatma Gandhi Institute of Medical Sciences,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.jmgims.co.in/
"Visual Computing for Industry, Biomedicine, and Art",SpringerOpen,Free (MU Directory),Not Available,Indexed (Website),http://vciba.springeropen.com/
Journal of Orthopaedic Diseases and Traumatology,Wolters Kluwer Medknow Publications,  (DOAJ),Not Available,Not Indexed,https://www.jodt.org/
Indian Journal of Nephrology,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Likely Indexed (Website),http://indianjnephrol.org/
Social Health and Behavior,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.shbonweb.com/
Journal of Traditional and Complementary Medicine,Elsevier,  (DOAJ),Not Available,Indexed (Source File),http://www.journals.elsevier.com/journal-of-traditional-and-complementary-medicine/
International Archives of Health Sciences,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.iahs.kaums.ac.ir/
International Journal of Advanced Medical and Health Research,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.ijamhrjournal.org/
Indian Journal of Dermatopathology and Diagnostic Dermatology,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://ijdpdd.com/
Indian Journal of Research in Homoeopathy,Wolters Kluwer Medknow Publications,Not Available,Not Available,Indexed (Source File),http://www.ijrh.org/
Taiwanese Journal of Psychiatry,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,https://www.e-tjp.org/
Journal of Integrative Nursing,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Source File),https://www.journalin.org/
Indian Journal of Medical Research,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Source File),http://www.ijmr.org.in/
Heart and Mind,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,https://www.heartmindjournal.org/
Journal of Oral Research and Review,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.jorr.org/
Journal of Indian Academy of Oral Medicine and Radiology,Wolters Kluwer Medknow Publications,  (DOAJ),Not Available,Indexed (Source File),http://www.jiaomr.in/
Iraqi Journal of Hematology,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.ijhonline.org/
BLDE University Journal of Health Sciences,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.bldeujournalhs.in/
Indian Journal of Vascular and Endovascular Surgery,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.indjvascsurg.org/
Journal of Cleft Lip Palate and Craniofacial Anomalies,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.jclpca.org/
Perspectives in Clinical Research,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Source File),http://www.picronline.org/
Journal of Acute Disease,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.jadweb.org/aboutus.asp
Indian Journal of Burns,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.ijburns.com/
Journal of Current Ophthalmology,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Source File),http://www.jcurrophthalmol.org/
Educación Médica,Elsevier,  (DOAJ),Not Available,Not Indexed,https://www.journals.elsevier.com/educacion-medica/
Journal of Applied Hematology,Wolters Kluwer Medknow Publications,  (DOAJ),Not Available,Indexed (Source File),http://www.jahjournal.org/
Journal of Ayurveda,Wolters Kluwer Medknow Publications,No APC (DOAJ),Not Available,Not Indexed,https://www.journayu.in/
Indian Journal of Dermatology,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Source File),http://www.e-ijd.org/
Journal of Forensic Science and Medicine,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Source File),http://www.jfsmonline.com/
Prostate International,Elsevier,  (DOAJ),Not Available,Indexed (Source File),http://www.journals.elsevier.com/prostate-international/
Journal of Medical Sciences,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.jmedscindmc.com/
Osteoporosis and Sarcopenia,Elsevier,No APC (DOAJ),Not Available,Not Indexed,http://www.journals.elsevier.com/osteoporosis-and-sarcopenia/
The Indian Anaesthetists' Forum,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.theiaforum.org/
MRIMS Journal of Health Sciences,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://mrimsjournal.com/
Journal of Marine Medical Society,Wolters Kluwer Medknow Publications,No APC (DOAJ),Not Available,Not Indexed,http://www.marinemedicalsociety.in/
Saudi Journal of Oral Sciences,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.saudijos.org/
Indian Journal of Social Psychiatry,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.indjsp.org/
Journal of the Egyptian Women’s Dermatologic Society,Wolters Kluwer Medknow Publications,No APC (DOAJ),Not Available,Not Indexed,https://www.jewd.eg.net/
APIK Journal of Internal Medicine,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.ajim.in/
Asian Journal of Transfusion Science,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Source File),http://ajts.org/
Current Medical Issues,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,https://www.cmijournal.org/
Saudi Dental Journal,Elsevier,  (DOAJ),Not Available,Indexed (Source File),https://www.journals.elsevier.com/saudi-dental-journal/
Journal of Clinical and Preventive Cardiology,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.jcpconline.org/
"Hematology, Transfusion and Cell Therapy",Elsevier,No APC (DOAJ),Not Available,Indexed (Source File),https://www.journals.elsevier.com/hematology-transfusion-and-cell-therapy
Journal of Cutaneous and Aesthetic Surgery,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Likely Indexed (Website),http://www.jcasonline.com/
Gynecology and Minimally Invasive Therapy,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Source File),http://www.e-gmit.com/
Indian Journal of Endocrinology and Metabolism,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Source File),http://www.ijem.in/
Journal of Primary Care Specialties,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,https://www.jpcsonline.org/
Delta Journal of Ophthalmology,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,https://www.djo.eg.net/
The Journal of the International Society of Physical and Rehabilitation Medicine,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,https://www.jisprm.org/
Oman Journal of Ophthalmology,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Source File),http://www.ojoonline.org/
Asian Pacific Journal of Reproduction,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Source File),http://www.apjr.net/aboutus.asp
