Journal Title,Publisher,ISSN,Review Time,APC,Scopus Indexing,Quartile,SJR,Source URL,Review Time Source,APC Source
Nuclear Physics B,Elsevier B.V.,5503213,12 weeks,Free (Stated on Website),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Nuclear Physics B is 2.8. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.868,https://www.sciencedirect.com/journal/nuclear-physics-b,journalsearches.com,journalsearches.com
Physics Letters B,Elsevier,1873-2445,23 weeks,  (DOAJ),Not Indexed,Not Available,Not Available,https://www.sciencedirect.com/journal/physics-letters-b,journalsearches.com,DOAJ
Business Research Quarterly,SAGE Publishing,2340-9444,10 weeks,  (DOAJ),Not Indexed,Not Available,Not Available,https://journals.sagepub.com/home/brq,journalsearches.com,DOAJ
Taiwanese Journal of Obstetrics & Gynecology,"ELSEVIER TAIWAN Taiwanese Journal of Obstetrics & GynecologyE-ISSN: Publisher: Elsevier Taiwanese Journal of Obstetrics and GynecologyE-ISSN: Publisher: Elsevier Taiwan AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGYE-ISSN: 1097-6868Publisher: MOSBY-ELSEVIER AMERICAN JOURNAL OF OBSTETRICS & GYNECOLOGY MFME-ISSN: 2589-9333Publisher: ELSEVIER EUROPEAN JOURNAL OF OBSTETRICS & GYNECOLOGY AND REPRODUCTIVE BIOLOGYE-ISSN: 1872-7654Publisher: ELSEVIER INTERNATIONAL JOURNAL OF GYNECOLOGY & OBSTETRICSE-ISSN: 1879-3479Publisher: WILEY JOURNAL OF GYNECOLOGY OBSTETRICS AND HUMAN REPRODUCTIONE-ISSN: 1773-0430Publisher: ELSEVIER MASSON, CORPORATION OFFICE JOURNAL OF PSYCHOSOMATIC OBSTETRICS & GYNECOLOGYE-ISSN: 1743-8942Publisher: TAYLOR & FRANCIS LTD JOURNAL OF PSYCHOSOMATIC OBSTETRICS & GYNECOLOGYE-ISSN: 1743-8942Publisher: TAYLOR & FRANCIS LTD JOURNAL OF CLINICAL OBSTETRICS AND GYNECOLOGYE-ISSN: 2619-9467Publisher: TURKIYE KLINIKLERI JOURNAL OF OBSTETRICS AND GYNECOLOGY OF INDIAE-ISSN: 0975-6434Publisher: SPRINGER INDIA TURKISH JOURNAL OF OBSTETRICS AND GYNECOLOGYE-ISSN: 2149-9330Publisher: GALENOS PUBL HOUSE Indonesian Journal of Obstetrics and GynecologyE-ISSN: 2338-7335Publisher: Indonesian Society of Obstetrics and Gynecology European Journal of Obstetrics & Gynecology and Reproductive Biology: XE-ISSN: 2590-1613Publisher: ElsevierNot getting the journal you are searching for? So it most likely not indexed in Scopus, WOS, PubMed, DOAJ, UGC CARE. You might also try: Enter the correct title.Check the spelling of the wordsMake sure you have added spaces between words",Not Available,Not Available,Not Available,Not Indexed,Not Available,Not Available,Not Available,Aggregator,Unknown
Digital Economy and Sustainable Development,Springer,2731-9423,21 days,  (DOAJ),Not Indexed,Not Available,Not Available,https://link.springer.com/journal/44265,Springer (Direct),DOAJ
Therapeutic Advances in Rare Disease,SAGE Publications Ltd,26330040,15 weeks,Free (Stated on Website),Indexed,Q2,8,https://journals.sagepub.com/home/trd,journalsearches.com,journalsearches.com
Discover public health,BioMed Central Ltd,,21 days,Free (Stated on Website),Indexed,Not Available,Not Available,https://link.springer.com/journal/12982,Springer (Direct),journalsearches.com
Empirical Research in Vocational Education and Training,Springer Science + Business Media,"18776337, 18776345",13 weeks,Free (MU Directory),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Empirical Research In Vocational Education And Training is 3.1. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.753,http://www.ervet-journal.com/,journalsearches.com,MU Directory
Emerging Media,SAGE Publishing,2752-3551,12 weeks,  (DOAJ),Not Indexed,Not Available,Not Available,https://journals.sagepub.com/home/EMM,journalsearches.com,DOAJ
Large-Scale Assessments in Education,SpringerOpen,21960739,13 weeks,Free (MU Directory),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Large-scale Assessments In Education is 3.0. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",1.155,http://www.largescaleassessmentsineducation.com/,journalsearches.com,MU Directory
Journal for Labour Market Research,"ISSN: 25105027, 25105019 Journal Scope: Business, Management and Accounting; Economics, Econometrics and Finance","25105027, 25105019",26 days,Free (MU Directory),Indexed,"Q2The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Journal For Labour Market Research is 1.7. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.545,http://labourmarketresearch.springeropen.com/,Springer (Direct),MU Directory
Schmalenbach Journal of Business Research,Springer Gabler,"23666153, 03412687",25 days,Free (MU Directory),Indexed,Q2,37,https://www.springer.com/journal/41471,Springer (Direct),MU Directory
International Journal of Child Care and Education Policy,SpringerOpen,"19765681, 22886729",13 weeks,Free (MU Directory),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of International Journal Of Child Care And Education Policy is 1.8. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.629,http://www.ijccep.com,journalsearches.com,MU Directory
Revista Portuguesa de Cardiologia,Sociedade Portuguesa de Cardiologia,"08702551, 21742030",36 weeks,Free (Stated on Website),Indexed,"Q3The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Revista Portuguesa De Cardiologia is 1.6. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.4,https://www.journals.elsevier.com/revista-portuguesa-de-cardiologia/,journalsearches.com,journalsearches.com
Business Research,Springer Science and Business Media Deutschland GmbH,21983402,13 weeks,Free (MU Directory),Indexed,Not Available,Not Available,https://www.springer.com/journal/40685,journalsearches.com,MU Directory
International Journal of Disaster Risk Science,Beijing Normal University Press,"21926395, 20950055",13 weeks,Free (MU Directory),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of International Journal Of Disaster Risk Science is 4.0. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.945,http://www.springer.com/13753,journalsearches.com,MU Directory
Discover Geoscience,Springer,2948-1589,19 days,  (DOAJ),Not Indexed,Not Available,Not Available,https://link.springer.com/journal/44288,Springer (Direct),DOAJ
Progress in Orthodontics,Springer Verlag,17237785,13 weeks,Free (MU Directory),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Progress In Orthodontics is 5.0. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",1.538,http://www.progressinorthodontics.com/,journalsearches.com,MU Directory
Interpreting and Society,SAGE Publications Ltd,27523810,4 weeks,Free (Stated on Website),Indexed,Q2,5,https://journals.sagepub.com/home/ISY,journalsearches.com,journalsearches.com
Therapeutic Advances in Vaccines and Immunotherapy,SAGE Publications Ltd,"25151355, 25151363",8 weeks,Free (MU Directory),Indexed,Q2,17,https://journals.sagepub.com/home/tav,journalsearches.com,MU Directory
Journal of Current Chinese Affairs,SAGE Publications Inc.,"18684874, 18681026",7 weeks,Free (Stated on Website),Indexed,Q1,20,https://journals.sagepub.com/home/cca,journalsearches.com,journalsearches.com
Natural Products and Bioprospecting,Springer Singapore,"21922209, 21922195",22 days,Free (MU Directory),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Natural Products And Bioprospecting is 4.9. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",1.067,http://www.springer.com/13659,Springer (Direct),MU Directory
Journal of Pacific Rim Psychology,SAGE Publications Ltd,18344909,20 weeks,Free (Stated on Website),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Journal Of Pacific Rim Psychology is 2.4. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.798,https://journals.sagepub.com/home/pac,journalsearches.com,journalsearches.com
International Journal of Educational Technology in Higher Education,Springer Netherlands,23659440,5 days,Free (MU Directory),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of International Journal Of Educational Technology In Higher Education is 16.7. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",3.912,http://educationaltechnologyjournal.springeropen.com/,Springer (Direct),MU Directory
Photonic Sensors,Springer China,"21907439, 16749251",13 weeks,Free (MU Directory),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Photonic Sensors is 3.7. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.908,http://www.springer.com/13320,journalsearches.com,MU Directory
Plasmatology,SAGE Publications Ltd,26348535,25 weeks,Free (MU Directory),Indexed,"Q4The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Plasmatology is 0.6. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.149,https://journals.sagepub.com/home/bdx,journalsearches.com,MU Directory
Financial Innovation,SpringerOpen,21994730,19 days,Free (MU Directory),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Financial Innovation is 7.2. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",1.287,http://jfin-swufe.springeropen.com/,Springer (Direct),MU Directory
International Journal of Coal Science & Technology,"SPRINGERNATURE International Journal of Coal Science & TechnologyE-ISSN: 2198-7823Publisher: SpringerOpen International Journal of Coal Science and TechnologyE-ISSN: 21987823Publisher: Springer International Publishing AG Meitan Kexue Jishu/Coal Science and Technology (Peking)E-ISSN: Publisher: China Coal Society INTERNATIONAL JOURNAL OF OIL GAS AND COAL TECHNOLOGYE-ISSN: 1753-3317Publisher: INDERSCIENCE ENTERPRISES LTD International Journal of Oil, Gas and Coal TechnologyE-ISSN: 17533317Publisher: Inderscience Publishers Clean Coal TechnologyE-ISSN: Publisher: China International Book Trading Corp. (Guoji Shudian) Journal of Coal Science and EngineeringE-ISSN: Publisher: China Coal Society INTERNATIONAL JOURNAL OF COAL GEOLOGYE-ISSN: 1872-7840Publisher: ELSEVIER INTERNATIONAL JOURNAL OF COAL PREPARATION AND UTILIZATIONE-ISSN: 1939-2702Publisher: TAYLOR & FRANCIS INC International Journal of Coal GeologyE-ISSN: Publisher: Elsevier B.V. International Journal of Coal Preparation and UtilizationE-ISSN: Publisher: Taylor and Francis Coal InternationalE-ISSN: Publisher: Tradelink Publication Ltd. Coal International Mining and Quarry WorldE-ISSN: Publisher: Tradelink Publication Ltd. Coal Preparation: A Multinational JournalE-ISSN: Publisher: Taylor & FrancisNot getting the journal you are searching for? So it most likely not indexed in Scopus, WOS, PubMed, DOAJ, UGC CARE. You might also try: Enter the correct title.Check the spelling of the wordsMake sure you have added spaces between words",Not Available,Not Available,Not Available,Not Indexed,Not Available,Not Available,Not Available,Aggregator,Unknown
The Egyptian Journal of Radiology and Nuclear Medicine,SpringerOpen,2090-4762,19 days,Free (MU Directory),Not Indexed,Not Available,Not Available,https://ejrnm.springeropen.com,Springer (Direct),MU Directory
Egyptian Rheumatology and Rehabilitation,Springer,"1110161X, 20903235",8 days,Free (MU Directory),Indexed,Q3,7,https://erar.springeropen.com/,Springer (Direct),MU Directory
Journal of Indian Orthodontic Society,Indian Orthodontic Society,0974-9098,10 weeks,  (DOAJ),Not Indexed,Not Available,Not Available,https://journals.sagepub.com/home/jio,journalsearches.com,DOAJ
The Egyptian Journal of Internal Medicine,SpringerOpen,2090-9098,10 days,Free (MU Directory),Not Indexed,Not Available,Not Available,https://ejim.springeropen.com/,Springer (Direct),MU Directory
Africa Spectrum,Institut fur Afrika-Kunde,20397,6 weeks,Free (MU Directory),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Africa Spectrum is 2.2. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.912,https://journals.sagepub.com/home/afr,journalsearches.com,MU Directory
Living Reviews in Relativity,Springer International Publishing AG,"14338351, 23673613",3 days,Free (MU Directory),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Living Reviews In Relativity is 62.5. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",14.562,http://www.springer.com/physics/theoretical%2C+mathematical+%26+computational+physics/journal/41114,Springer (Direct),MU Directory
Journal of High Energy Physics,Springer Verlag,10298479,12 weeks,Free (MU Directory),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Journal Of High Energy Physics is 5.5. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.833,http://www.springer.com/physics/particle+and+nuclear+physics/journal/13130,journalsearches.com,MU Directory
Advances in Bridge Engineering,Springer,26625407,7 days,Free (MU Directory),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Advances In Bridge Engineering is 2.1. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.72,https://aben.springeropen.com/,Springer (Direct),MU Directory
Urban Rail Transit,Springer Science and Business Media Deutschland GmbH,"21996679, 21996687",5 weeks,Free (MU Directory),Indexed,"Q2The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Urban Rail Transit is 2.9. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.512,http://www.springer.com/engineering/mechanical+engineering/journal/40864,journalsearches.com,MU Directory
Discover Electronics,Springer,2948-1600,13 days,  (DOAJ),Not Indexed,Not Available,Not Available,https://link.springer.com/journal/44291,Springer (Direct),DOAJ
Perspectives of Earth and Space Scientists,Wiley,2637-6989,20 weeks,  (DOAJ),Not Indexed,Not Available,Not Available,https://agupubs.onlinelibrary.wiley.com/journal/26376989,journalsearches.com,DOAJ
Marine Development,Springer,3004-832X,8 days,  (DOAJ),Not Indexed,Not Available,Not Available,https://link.springer.com/journal/44312,Springer (Direct),DOAJ
IHJ Cardiovascular Case Reports,Elsevier,2468-600X,36 weeks,  (DOAJ),Not Indexed,Not Available,Not Available,https://www.journals.elsevier.com/ihj-cardiovascular-case-reports,journalsearches.com,DOAJ
Discover Oceans,Springer,2948-1562,20 days,  (DOAJ),Not Indexed,Not Available,Not Available,https://link.springer.com/journal/44289,Springer (Direct),DOAJ
IHJ Cardiovascular Reports,Elsevier,2950-4678,27 weeks,  (DOAJ),Not Indexed,Not Available,Not Available,https://www.sciencedirect.com/journal/ihj-cardiovascular-reports,journalsearches.com,DOAJ
Egyptian Journal of Critical Care Medicine,Springer,2090-9209,13 days,Free (MU Directory),Not Indexed,Not Available,Not Available,https://link.springer.com/journal/44349,Springer (Direct),MU Directory
Netherlands Quarterly of Human Rights,Stichting Studie- en Informatiecentrum Mensenrechten,1693441,52 weeks,Free (Stated on Website),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Netherlands Quarterly Of Human Rights is 1.4. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.527,https://journals.sagepub.com/home/NQH,journalsearches.com,journalsearches.com
Discover Chemistry,Springer,3005-1193,19 days,  (DOAJ),Not Indexed,Not Available,Not Available,https://link.springer.com/journal/44371,Springer (Direct),DOAJ
Journal of the Saudi Society of Agricultural Sciences,Springer International Publishing,1658077X,23 weeks,Free (Stated on Website),Indexed,Q1,65,https://link.springer.com/journal/44447,journalsearches.com,journalsearches.com
Revista Brasileira de Hematologia e Hemoterapia,Elsevier Editora Ltda,15168484,21 weeks,Free (Stated on Website),Indexed,Not Available,Not Available,https://www.journals.elsevier.com/hematology-transfusion-and-cell-therapy,journalsearches.com,journalsearches.com
Kuwait Journal of Science,Elsevier B.V.,"23074108, 23074116",20 weeks,Free (Stated on Website),Indexed,"Q2The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Kuwait Journal Of Science is 1.1. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.25,https://www.sciencedirect.com/journal/kuwait-journal-of-science,journalsearches.com,journalsearches.com
Cybersecurity,SpringerOpen,"20964862, 25233246",15 days,Free (MU Directory),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Cybersecurity is 3.7. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.873,https://cybersecurity.springeropen.com/,Springer (Direct),MU Directory
Egyptian Journal of Forensic Sciences,Springer International Publishing AG,"20905939, 2090536X",11 days,Free (MU Directory),Indexed,"Q2The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Egyptian Journal Of Forensic Sciences is 1.3. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.359,https://ejfs.springeropen.com/,Springer (Direct),MU Directory
Journal of Basic and Applied Zoology,SpringerOpen,2090-990X,13 days,Free (MU Directory),Not Indexed,Not Available,Not Available,https://basicandappliedzoology.springeropen.com,Springer (Direct),MU Directory
