Journal Name,Publisher,Initial Link,ISSN,APC,Quartile,Scopus Status,Review Time
Current Allergy and Asthma Reports,Springer,https://www.springer.com/journal/11882/how-to-publish-with-us#Fees%20and%20Funding,Not Available,Unknown,Q1,Indexed,Not Available
Korean Journal of Anesthesiology,Korean Society of Anesthesiologists,https://ekja.org/authors/authors.php,"2005-6419, 2005-7563",No APC (DOAJ),Q1,Indexed,16 weeks
European Journal of Anaesthesiology,Wolters Kluwer - Lippincott Williams & Wilkins,https://shop.lww.com/European-Journal-of-Anaesthesiology/p/0265-0215,2767-7206,Has APC (See https://journals.lww.com/ejaintensivecare/Pages/openaccess.aspx),Q1,Indexed,Not Available
Journal of Surgical Education,GESDAV,https://www.elsevier.com/journals/journal-of-surgical-education/1931-7204/open-access-options,2146-8133,Has APC (See https://www.ejmaces.com/instructionsforauthors.html),Q1,Indexed,Not Available
Journal of Shoulder and Elbow Surgery,Elsevier,https://www.elsevier.com/journals/journal-of-shoulder-and-elbow-surgery/1058-2746/open-access-options,2666-6383,Has APC (See https://www.sciencedirect.com/journal/jses-international/publish/open-access-options),Q1,Indexed,Not Available
Obesity Surgery,Karger Publishers,https://www.springer.com/journal/11695/how-to-publish-with-us#Fees%20and%20Funding,"1662-4025, 1662-4033",Has APC (See https://www.karger.com/Journal/Guidelines/233731#sec62),Q1,Indexed,Not Available
Clinical Transplantation,Wolters Kluwer Medknow Publications,https://onlinelibrary.wiley.com/page/journal/13990012/homepage/fundedaccess.html,"1319-2442, 2320-3838",No APC (DOAJ),Q2,Indexed,Not Available
International Journal of Computer Assisted Radiology and Surgery,Springer Science and Business Media Deutschland GmbH,https://www.springer.com/journal/11548/how-to-publish-with-us#Fees%20and%20Funding,Not Available,Unknown,Q2,Indexed,Not Available
World Journal of Surgery,SpringerOpen,https://www.springer.com/journal/268/how-to-publish-with-us#Fees%20and%20Funding,2090-6226,Free (MU Directory),Q1,Indexed,Not Available
American Journal of Surgery,EDP Sciences,https://www.elsevier.com/journals/the-american-journal-of-surgery/0002-9610/open-access-options,"0022-1058, 2969-8960",Has APC (See https://ject.edpsciences.org/author-information/instructions-for-authors),Q1,Indexed,Not Available
Journal of Visceral Surgery,Elsevier Masson s.r.l.,https://www.elsevier.com/journals/journal-of-visceral-surgery/1878-7886/open-access-options,Not Available,Unknown,Q2,Indexed,Not Available
International Journal of Oral and Maxillofacial Surgery,Nature Publishing Group,https://www.elsevier.com/journals/international-journal-of-oral-and-maxillofacial-surgery/0901-5027/open-access-options,"1674-2818, 2049-3169",Has APC (See https://www.nature.com/ijos/open-access#apc),Q1,Indexed,Not Available
Archives of Orthopaedic and Trauma Surgery,Springer Science and Business Media Deutschland GmbH,https://www.springer.com/journal/402/how-to-publish-with-us#Fees%20and%20Funding,Not Available,Unknown,Q1,Indexed,Not Available
Langenbeck's Archives of Surgery,"Springer Verlag Hand surgery : an international journal devoted to hand and upper limb surgery and related research : journal of the Asia-Pacific Federation of Societies for Surgery of the HandE-ISSN: Publisher: World Scientific Publishing Co ARCHIVES AND RECORDS-THE JOURNAL OF THE ARCHIVES AND RECORDS ASSOCIATIONE-ISSN: 2325-7989Publisher: ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD International Archives of the History of Ideas/Archives Internationales d'Histoire des IdeesE-ISSN: 22150307Publisher: Springer Netherlands ARCHIVES OF ORTHOPAEDIC AND TRAUMA SURGERYE-ISSN: 1434-3916Publisher: SPRINGER LANGENBECKS ARCHIVES OF SURGERYE-ISSN: 1435-2451Publisher: SPRINGER ABCD-ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA-BRAZILIAN ARCHIVES OF DIGESTIVE SURGERYE-ISSN: 2317-6326Publisher: COLEGIO BRASILEIRO CIRURGIA DIGESTIVA-CBCD ARCHIVES OF AESTHETIC PLASTIC SURGERYE-ISSN: 2288-9337Publisher: KOREAN SOC AESTHETIC PLASTIC SURGERY ARCHIVES OF BONE AND JOINT SURGERY-ABJSE-ISSN: 2345-461XPublisher: MASHHAD UNIV MED SCIENCES ARCHIVES OF PLASTIC SURGERY-APSE-ISSN: 2234-6171Publisher: GEORG THIEME VERLAG KG Archives of Clinical and Experimental SurgeryE-ISSN: 2146-8133Publisher: GESDAV Archives of Aesthetic Plastic SurgeryE-ISSN: 2288-9337Publisher: Korean Society for Aesthetic Plastic Surgery Archives of Plastic SurgeryE-ISSN: 2234-6171Publisher: Thieme Medical Publishers, Inc. A.M.A. archives of surgeryE-ISSN: Publisher: American Medical Association Archives of Bone and Joint SurgeryE-ISSN: 2345461XPublisher: Mashhad University of Medical SciencesNot getting the journal you are searching for? So it most likely not indexed in Scopus, WOS, PubMed, DOAJ, UGC CARE. You might also try: Enter the correct title.Check the spelling of the wordsMake sure you have added spaces between words",https://www.springer.com/journal/423/how-to-publish-with-us#Fees%20and%20Funding,Not Available,Unknown,Not Available,Likely Indexed,Not Available
Journal of Surgical Oncology,Korean Society of Surgical Oncology,https://onlinelibrary.wiley.com/page/journal/10969098/homepage/fundedaccess.html,"1738-8082, 2288-4084",No APC (DOAJ),Q1,Indexed,Not Available
Current Problems in Surgery,Elsevier,https://www.elsevier.com/journals/current-problems-in-surgery/0011-3840/open-access-options,1535-6337,Has APC (See https://www.sciencedirect.com/journal/current-problems-in-surgery/publish/open-access-options),Q1,Indexed,15 weeks
Neurosurgical Review,Vilnius University Press,https://www.springer.com/journal/10143/how-to-publish-with-us#Fees%20and%20Funding,"1392-3064, 2424-5917",No APC (DOAJ),Q1,Indexed,Not Available
"Photobiomodulation, Photomedicine, and Laser Surgery",Not Available,https://home.liebertpub.com/publications/photobiomodulation-photomedicine-and-laser-surgery/128/for-authors,Not Available,Unknown,Not Available,Not Available,Not Available
Aesthetic Plastic Surgery,"Thieme Medical Publishers, Inc.",https://www.springer.com/journal/266/how-to-publish-with-us#Fees%20and%20Funding,"2234-6163, 2234-6171",Has APC (See https://cdn0.scrvt.com/9ca5761af4a1cf7bf49dd51537e8f4d1/0cd2156449e6a3a5/bf08e18b76ea/Jan31_APC-list-price-for-2025.xlsx),Q1,Indexed,Not Available
Updates in Surgery,Springer-Verlag Italia s.r.l.,https://www.springer.com/journal/13304/how-to-publish-with-us#Fees%20and%20Funding,Not Available,Unknown,Q1,Indexed,Not Available
Lasers in Medical Science,Springer London,https://www.springer.com/journal/10103/how-to-publish-with-us#Fees%20and%20Funding,Not Available,Unknown,Q2,Indexed,Not Available
Journal of Pediatric Surgery,Pediatric Surgery Research Center of Shahid Beheshti University of Medical Sciences,https://www.elsevier.com/journals/journal-of-pediatric-surgery/0022-3468/open-access-options,2423-7612,No APC (DOAJ),Q1,Indexed,Not Available
Surgery Today,Elsevier,https://www.springer.com/journal/595/how-to-publish-with-us#Fees%20and%20Funding,2352-3441,Has APC (See https://www.sciencedirect.com/journal/arthroplasty-today/publish/open-access-options),Q2,Indexed,Not Available
Clinics in Plastic Surgery,W.B. Saunders,https://www.journals.elsevier.com/clinics-in-plastic-surgery,Not Available,Unknown,Q1,Indexed,Not Available
Journal of Robotic Surgery,AME Publishing Company,https://www.springer.com/journal/11701/how-to-publish-with-us#Fees%20and%20Funding,2617-2496,Has APC (See https://jmai.amegroups.org/pages/view/article-processing-charges),Q1,Indexed,Not Available
Heart Rhythm,Elsevier,https://www.elsevier.com/journals/heart-rhythm/1547-5271/open-access-options,2666-6936,Has APC (See https://www.sciencedirect.com/journal/cardiovascular-digital-health-journal/publish/open-access-options),Q1,Indexed,Not Available
Journal of Cardiac Failure,Wolters Kluwer Medknow Publications,https://www.elsevier.com/journals/journal-of-cardiac-failure/1071-9164/open-access-options,"2251-9572, 2251-9580",No APC (DOAJ),Q1,Indexed,Not Available
Journal of Molecular and Cellular Cardiology,Elsevier,https://journals.elsevier.com/journal-of-molecular-and-cellular-cardiology,2772-9761,Has APC (See https://www.sciencedirect.com/journal/journal-of-molecular-and-cellular-cardiology-plus/publish/open-access-options),Q1,Indexed,Not Available
Journal of Thrombosis and Thrombolysis,Springer,https://www.springer.com/journal/11239/how-to-publish-with-us#Fees%20and%20Funding,Not Available,Unknown,Q2,Indexed,Not Available
The Annals of Thoracic Surgery,Wolters Kluwer Medknow Publications,https://www.elsevier.com/journals/the-annals-of-thoracic-surgery/0003-4975/open-access-optionss,"0971-9784, 0974-5181",No APC (DOAJ),Not Available,Likely Indexed,Not Available
American Heart Journal,Elsevier,https://www.elsevier.com/journals/american-heart-journal/0002-8703/open-access-options,2772-3747,Has APC (See https://www.sciencedirect.com/journal/jacc-asia/publish/open-access-options),Q1,Indexed,Not Available
Heart Failure Reviews,IMR Press,https://www.springer.com/journal/10741/how-to-publish-with-us#Fees%20and%20Funding,"1530-6550, 2153-8174",Has APC (See https://www.imrpress.com/journal/RCM/apc),Q1,Indexed,Not Available
International Journal of Cardiology,Elsevier,https://www.elsevier.com/journals/international-journal-of-cardiology/0167-5273/open-access-options,2352-9067,Has APC (See https://www.sciencedirect.com/journal/ijc-heart-and-vasculature/publish/open-access-options),Q1,Indexed,Not Available
Current Cardiology Reports,Springer,https://www.springer.com/journal/11886/how-to-publish-with-us#Fees%20and%20Funding,Not Available,Unknown,Q1,Indexed,Not Available
Cardiovascular Drugs and Therapy,Springer,https://www.springer.com/journal/10557/how-to-publish-with-us#Fees%20and%20Funding,Not Available,Unknown,Q1,Indexed,Not Available
Journal of Cardiovascular Computed Tomography,Elsevier Inc.,https://www.elsevier.com/journals/journal-of-cardiovascular-computed-tomography/1934-5925/open-access-options,Not Available,Unknown,Q1,Indexed,Not Available
European Journal of Cardiovascular Nursing,Oxford University Press,https://academic.oup.com/eurjcn/subscribe,Not Available,Unknown,Q1,Indexed,Not Available
European Archives of Psychiatry and Clinical Neuroscience,D. Steinkopff-Verlag,https://www.springer.com/journal/406/how-to-publish-with-us#Fees%20and%20Funding,Not Available,Unknown,Q1,Indexed,Not Available
Journal of Pain and Symptom Management,Elsevier Inc.,https://www.elsevier.com/journals/journal-of-pain-and-symptom-management/0885-3924/open-access-options,Not Available,Unknown,Q1,Indexed,Not Available
Sleep Medicine,Elsevier,https://www.elsevier.com/journals/sleep-medicine/1389-9457/open-access-options,2949-7892,Has APC (See https://www.sciencedirect.com/journal/chest-pulmonary/publish/open-access-options),Q1,Indexed,Not Available
Multiple Sclerosis and Related Disorders,Elsevier B.V.,https://www.elsevier.com/journals/multiple-sclerosis-and-related-disorders/2211-0348/open-access-options,Not Available,Unknown,Q1,Indexed,Not Available
Journal of Neuromuscular Diseases,Frontiers Media S.A.,https://www.iospress.com/catalog/journals/journal-of-neuromuscular-diseases,2813-2106,Has APC (See https://www.frontierspartnerships.org/journals/dystonia/for-authors/publishing-fees),Q2,Indexed,Not Available
CNS Spectrums,Cambridge University Press,https://www.cambridge.org/core/journals/cns-spectrums/information/open-access-options,Not Available,Unknown,Q2,Indexed,Not Available
Journal of the Neurological Sciences,Bakırköy Prof. Dr. Mazhar Osman Ruh Sağlığı ve Sinir Hastalıkları Eğitim ve Araştırma Hastanesi,https://www.elsevier.com/journals/journal-of-the-neurological-sciences/0022-510X/open-access-options,"1018-8681, 1309-5749",No APC (DOAJ),Q1,Indexed,Not Available
Journal of Neuro-Oncology,Pan Arab Society of Neurosurgery,https://www.springer.com/journal/11060/how-to-publish-with-us#Fees%20and%20Funding,"1319-6995, 2735-4482",Has APC (See https://pajn.journals.ekb.eg/journal/authors.note),Q1,Indexed,Not Available
Neurosurgical Focus,American Association of Neurological Surgeons,https://thejns.org/page/focus-info-for-authors/neurosurgical-focus-information-for-authors#open,Not Available,Unknown,Q1,Indexed,Not Available
Pediatric Neurology,Wiley,https://www.elsevier.com/journals/pediatric-neurology/0887-8994/open-access-options,2831-3267,Has APC (See https://onlinelibrary.wiley.com/page/journal/28313267/homepage/article-publication-charges.html),Q1,Indexed,Not Available
Sleep Health,Elsevier,https://www.elsevier.com/journals/sleep-health/2352-7218/open-access-options,2667-3436,Has APC (See https://www.sciencedirect.com/journal/sleep-epidemiology/publish/open-access-options),Q1,Indexed,Not Available
Current Pain and Headache Reports,"Current Science, Inc.",https://www.springer.com/journal/11916/how-to-publish-with-us#Fees%20and%20Funding,Not Available,Unknown,Q1,Indexed,Not Available
Neurologic Clinics,W.B. Saunders,https://www.neurologic.theclinics.com/action/ecommerce,Not Available,Unknown,Q2,Indexed,Not Available
Neurocritical Care,The Korean Neurocritical Care Society,https://www.springer.com/journal/12028/how-to-publish-with-us#Fees%20and%20Funding,"2005-0348, 2508-1349",No APC (DOAJ),Q1,Indexed,Not Available
Journal of Neuropathology and Experimental Neurology,Oxford University Press,https://academic.oup.com/jnen/subscribe,Not Available,Unknown,Q1,Indexed,Not Available
Current Alzheimer Research,Bentham Science Publishers,https://benthamscience.com/journal/open-access-plus-reprints.php?journalID=car#ifa,Not Available,Unknown,Q3,Indexed,Not Available
Journal of Sleep Research,Elsevier,https://onlinelibrary.wiley.com/page/journal/13652869/homepage/fundedaccess.html,2949-7892,Has APC (See https://www.sciencedirect.com/journal/chest-pulmonary/publish/open-access-options),Q1,Indexed,Not Available
Acta Neurologica Scandinavica,John Wiley and Sons Inc,https://onlinelibrary.wiley.com/page/journal/16000404/homepage/fundedaccess.html,Not Available,Unknown,Q1,Indexed,Not Available
Critical Care Clinics,W.B. Saunders,https://www.elsevier.com/journals/institutional/critical-care-clinics/0749-0704,Not Available,Unknown,Q1,Indexed,Not Available
Journal of Intensive Care Medicine,SpringerOpen,https://journals.sagepub.com/author-instructions/JIC#OpenAccessAuthorArchive,2110-5820,Has APC (See https://annalsofintensivecare.springeropen.com/about),Q1,Indexed,Not Available
Journal of Tissue Viability,Tissue Viability Society,https://www.elsevier.com/journals/journal-of-tissue-viability/0965-206x/open-access-options,Not Available,Unknown,Q2,Indexed,Not Available
Archives of Dermatological Research,"ISSN: 03403696, 1432069X Journal Scope: Medicine",https://www.springer.com/journal/403/how-to-publish-with-us#Fees%20and%20Funding,Not Available,Unknown,Q1,Indexed,Not Available
Clinics in Dermatology,Elsevier Inc.,https://www.elsevier.com/journals/clinics-in-dermatology/0738-081x/open-access-options,Not Available,Unknown,Q2,Indexed,Not Available
Journal of Endocrinological Investigation,Springer Science and Business Media Deutschland GmbH,https://www.springer.com/journal/40618/how-to-publish-with-us#Fees%20and%20Funding,Not Available,Unknown,Q1,Indexed,Not Available
Current Diabetes Reports,Current Medicine Group,https://www.springer.com/journal/11892/how-to-publish-with-us#Fees%20and%20Funding,Not Available,Unknown,Q1,Indexed,Not Available
Obesity Research & Clinical Practice,Society of Endocrinology and Metabolism of Turkey,https://www.elsevier.com/journals/obesity-research-and-clinical-practice/1871-403x/open-access-options,2822-6135,No APC (DOAJ),Not Available,Likely Indexed,Not Available
Current Osteoporosis Reports,"Current Science, Inc.",https://www.springer.com/journal/11914/how-to-publish-with-us#Fees%20and%20Funding,Not Available,Unknown,Q1,Indexed,Not Available
Psycho­neuro­endocrinology,Not Available,https://www.elsevier.com/journals/psychoneuroendocrinology/0306-4530/open-access-options,Not Available,Unknown,Not Available,Not Available,Not Available
BONE,Russian Ilizarov Scientific Center for Restorative Traumatology and Orthopaedics,https://www.elsevier.com/journals/bone/8756-3282/open-access-options,"1028-4427, 2542-131X",No APC (DOAJ),Q1,Indexed,Not Available
Molecular and Cellular Endocrinology,MDPI AG,https://www.elsevier.com/journals/molecular-and-cellular-endocrinology/0303-7207/open-access-options,2673-3897,Has APC (See https://www.mdpi.com/journal/reprodmed/apc),Q1,Indexed,Not Available
Molecular Genetics and Metabolism,Elsevier,https://www.elsevier.com/journals/molecular-genetics-and-metabolism/1096-7192/open-access-options,2214-4269,Has APC (See https://www.sciencedirect.com/journal/molecular-genetics-and-metabolism-reports/publish/open-access-options),Q2,Indexed,Not Available
BMJ Open Diabetes Research & Care,BMJ Publishing Group,https://drc.bmj.com/pages/authors/#article_processing_charges,2052-4897,Has APC (See https://drc.bmj.com/pages/authors/#article_processing_charges),Not Available,Likely Indexed,Not Available
Acta Diabetologica,Springer-Verlag Italia s.r.l.,https://www.springer.com/journal/592/how-to-publish-with-us#Fees%20and%20Funding,Not Available,Unknown,Q1,Indexed,Not Available
Hormone Research in Paediatrics,S. Karger AG,https://www.karger.com/Journal/Guidelines/224036#sec62,Not Available,Unknown,Q1,Indexed,Not Available
Neuroendocrinology,Tsinghua University Press,https://www.karger.com/Journal/Guidelines/223855#sec51,"2709-1325, 2709-0388",No APC (DOAJ),Q2,Indexed,Not Available
Seminars in Liver Disease,"Thieme Medical Publishers, Inc.",https://web.thieme.com/media/ita/pubid-1576378494.pdf,Not Available,Unknown,Q1,Indexed,Not Available
Clinics in Liver Disease,W.B. Saunders,https://www.elsevier.com/journals/clinics-in-liver-disease/1089-3261/subscribe?subscriptiontype=personal&dgcid=SD_ecom_referral_journals,Not Available,Unknown,Q1,Indexed,Not Available
Journal of Gastroenterology and Hepatology,Wiley,https://onlinelibrary.wiley.com/page/journal/14401746/homepage/fundedaccess.html,"2090-3448, 2090-3456",Has APC (See https://onlinelibrary.wiley.com/page/journal/8282/homepage/open-access),Not Available,Likely Indexed,Not Available
International Psychogeriatrics,Elsevier,https://www.cambridge.org/core/journals/international-psychogeriatrics/information/open-access-options,"1041-6102, 1741-203X",Has APC (See https://www.sciencedirect.com/journal/international-psychogeriatrics/publish/open-access-options),Q1,Indexed,9 weeks
Maturitas,Elsevier Ireland Ltd,https://www.elsevier.com/journals/maturitas/0378-5122/open-access-options,Not Available,Unknown,Q1,Indexed,Not Available
Drugs & Aging,"ADIS INT LTD Drugs and AgingE-ISSN: Publisher: Adis International Ltd. AMERICAN JOURNAL OF CARDIOVASCULAR DRUGSE-ISSN: 1179-187XPublisher: ADIS INT LTD ANTI-CANCER DRUGSE-ISSN: 1473-5741Publisher: LIPPINCOTT WILLIAMS & WILKINS CARDIOVASCULAR DRUGS AND THERAPYE-ISSN: 1573-7241Publisher: SPRINGER CNS DRUGSE-ISSN: 1179-1934Publisher: ADIS INT LTD DRUGSE-ISSN: 1179-1950Publisher: ADIS INT LTD DRUGS IN R&DE-ISSN: 1179-6901Publisher: SPRINGER INT PUBL AG DRUGS OF THE FUTUREE-ISSN: 2013-0368Publisher: PROUS SCIENCE, SAU-THOMSON REUTERS DRUGS OF TODAYE-ISSN: 1699-4019Publisher: PROUS SCIENCE, SAU-THOMSON REUTERS EXPERT OPINION ON EMERGING DRUGSE-ISSN: 1744-7623Publisher: TAYLOR & FRANCIS LTD EXPERT OPINION ON INVESTIGATIONAL DRUGSE-ISSN: 1744-7658Publisher: TAYLOR & FRANCIS LTD EXPERT OPINION ON ORPHAN DRUGSE-ISSN: 2167-8707Publisher: TAYLOR & FRANCIS LTD INTERNATIONAL JOURNAL FOR PARASITOLOGY-DRUGS AND DRUG RESISTANCEE-ISSN: 2211-3207Publisher: ELSEVIER SCI LTD INVESTIGATIONAL NEW DRUGSE-ISSN: 1573-0646Publisher: SPRINGERNot getting the journal you are searching for? So it most likely not indexed in Scopus, WOS, PubMed, DOAJ, UGC CARE. You might also try: Enter the correct title.Check the spelling of the wordsMake sure you have added spaces between words",https://www.springer.com/journal/40266/how-to-publish-with-us#Fees%20and%20Funding,Not Available,Unknown,Not Available,Likely Indexed,Not Available
Experimental Gerontology,Elsevier,https://www.elsevier.com/journals/experimental-gerontology/0531-5565/open-access-options,1873-6815,Has APC (See https://www.sciencedirect.com/journal/experimental-gerontology/publish/open-access-options),Q1,Indexed,17 weeks
Clinics in Geriatric Medicine,W.B. Saunders,https://www.geriatric.theclinics.com/action/ecommerce,Not Available,Unknown,Q2,Indexed,Not Available
Critical Reviews in Oncology/Hematology,Elsevier Ireland Ltd,https://www.elsevier.com/journals/critical-reviews-in-oncology-hematology/1040-8428/open-access-options,Not Available,Unknown,Q1,Indexed,Not Available
Seminars in Thrombosis and Hemostasis,"Thieme Medical Publishers, Inc.",https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00000077,Not Available,Unknown,Q2,Indexed,Not Available
Cytotherapy,Elsevier B.V.,https://www.elsevier.com/journals/cytotherapy/1465-3249/open-access-options,Not Available,Unknown,Q1,Indexed,Not Available
Pediatric Blood & Cancer,iranian pediatric hematology and oncology society,https://onlinelibrary.wiley.com/journal/15455017,"2008-4595, 2008-4609",No APC (DOAJ),Not Available,Likely Indexed,Not Available
Infectious Disease Clinics of North America,W.B. Saunders,https://www.elsevier.com/journals/infectious-disease-clinics-of-north-america/0891-5520/subscribe?subscriptiontype=institutional,Not Available,Unknown,Q1,Indexed,Not Available
Clinical and Experimental Immunology,Termedia Publishing House,"https://onlinelibrary.wiley.com/page/journal/13652249/homepage/productinformation.html#:~:text=Clinical%20%26%20Experimental%20Immunology%20%28established%20in%201966%29%20is,immunopathology%20of%20human%20disease%20and%2For%20change%20clinical%20practice.","1426-3912, 1644-4124",Has APC (See https://www.termedia.pl/Journal/Central_European_Journal_of_nbsp_Immunology-10/For-authors),Q1,Indexed,Not Available
International Immunopharmacology,Elsevier B.V.,https://www.elsevier.com/journals/international-immunopharmacology/1567-5769/open-access-options,Not Available,Unknown,Q1,Indexed,Not Available
Bone Marrow Transplantation,Springer Nature,https://www.nature.com/bmt/open-access#publishing-open-access,Not Available,Unknown,Q1,Indexed,Not Available
Fish & Shellfish Immunology,Elsevier,https://www.elsevier.com/journals/fish-and-shellfish-immunology/1050-4648/open-access-options,2667-0119,Has APC (See https://www.elsevier.com/journals/fish-and-shellfish-immunology-reports/2667-0119/open-access-journal),Not Available,Likely Indexed,Not Available
Cellular Immunology,Springer,https://www.elsevier.com/journals/cellular-immunology/0008-8749/open-access-options,1420-9071,Has APC (See https://link.springer.com/journal/18/how-to-publish-with-us),Q2,Indexed,Not Available
Molecular Immunology,Springer,https://www.elsevier.com/journals/molecular-immunology/0161-5890/open-access-options,1420-9071,Has APC (See https://link.springer.com/journal/18/how-to-publish-with-us),Q2,Indexed,Not Available
Journal of Reproductive Immunology,CSIR-NIScPR,https://www.elsevier.com/journals/journal-of-reproductive-immunology/0165-0378/open-access-options,"0019-5189, 0975-1009",No APC (DOAJ),Q2,Indexed,Not Available
ACS Infectious Diseases,American Chemical Society,https://publish.acs.org/publish/author_guidelines?coden=aidcbc#editorial_policy,Not Available,Unknown,Q1,Indexed,Not Available
Current HIV/AIDS Reports,"Current Science, Inc.",https://www.springer.com/journal/11904/how-to-publish-with-us#Fees%20and%20Funding,Not Available,Unknown,Q1,Indexed,Not Available
Journal of the Pediatric Infectious Diseases Society,Korean Society of Infectious Diseases; Korean Society for Antimicrobial Therapy; The Korean Society for AIDS; Korean Society of Pediatric Infectious,https://academic.oup.com/jpids/subscribe,"2093-2340, 2092-6448",No APC (DOAJ),Q1,Indexed,Not Available
Transboundary and Emerging Diseases,John Wiley and Sons Ltd,https://onlinelibrary.wiley.com/page/journal/18651682/homepage/FundedAccess.html,Not Available,Unknown,Q1,Indexed,Not Available
Expert Review of Anti-Infective Therapy,Taylor and Francis Ltd.,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ierz20#Publication_charges,Not Available,Unknown,Q1,Indexed,Not Available
AIDS Patient Care and STDs,Mary Ann Liebert Inc.,https://home.liebertpub.com/publications/aids-patient-care-and-stds/1/for-authors#costs,Not Available,Unknown,Q1,Indexed,Not Available
Minerva Medica,Edizioni Minerva Medica,https://www.minervamedica.it/en/open_access.php,"2241-9136, 2241-9144",No APC (DOAJ),Q3,Indexed,Not Available
Internal and Emergency Medicine,Elsevier,https://www.springer.com/journal/11739/how-to-publish-with-us#Fees%20and%20Funding,2688-1152,Has APC (See https://www.sciencedirect.com/journal/jacep-open/publish/open-access-options),Q1,Indexed,Not Available
American Family Physician,American Academy of Family Physicians,https://www.aafp.org/pubs/afp/subscribe/subscription-management.html,Not Available,Unknown,Q2,Indexed,Not Available
Preventive Medicine,simedet,https://www.elsevier.com/journals/preventive-medicine/0091-7435/open-access-options,2704-6222,No APC (DOAJ),Q1,Indexed,Not Available
Postgraduate Medicine,Wolters Kluwer Medknow Publications,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ipgm20#Copyright_options,"1117-1936, 2468-6875",Has APC (See https://journals.lww.com/NPMJ/pages/informationforauthors.aspx),Q2,Indexed,Not Available
Swiss Medical Weekly,SMW supporting association (Trägerverein Swiss Medical Weekly SMW),https://smw.ch/for-authors,"1424-7860, 1424-3997",No APC (DOAJ),Not Available,Likely Indexed,10 weeks
Balkan Medical Journal,Balkan Medical Union,https://balkanmedicaljournal.org/static.php?id=19,"1584-9244, 2558-815X",Has APC (See https://umbalk.org/instructions-to-authors/),Q2,Indexed,6 weeks
Singapore Medical Journal,Wolters Kluwer – Medknow Publications,https://journals.lww.com/SMJ/Pages/instructionsforauthors.aspx#9,"0037-5675, 2737-5935",No APC (DOAJ),Q3,Indexed,17 weeks
Medicina Clínica,Universidad de Costa Rica,https://www.elsevier.com/journals/medicina-clinica/0025-7753/open-access-options,2215-2741,No APC (DOAJ),Not Available,Not Available,Not Available
Archives of Iranian Medicine,"Islamic Azad University, Tabriz Branch",http://www.aimjournal.ir/InstructionsforAuthors,"2322-4746, 2476-6984",Has APC (See https://sanad.iau.ir/en/Journal/jvcp/Page/authors),Q3,Indexed,Not Available
Revista Clínica Española,Sociedad Española de Medicina de Familia y Comunitaria,https://www.elsevier.com/journals/revista-clinica-espanola/0014-2565/open-access-options,"1699-695X, 2386-8201",No APC (DOAJ),Not Available,Not Available,Not Available
Journal of Assisted Reproduction and Genetics,Wolters Kluwer Medknow Publications,https://www.springer.com/journal/10815/how-to-publish-with-us#Fees%20and%20Funding,"0974-1208, 1998-4766",No APC (DOAJ),Q1,Indexed,Not Available
Seminars in Perinatology,W.B. Saunders,https://www.elsevier.com/journals/seminars-in-perinatology/0146-0005/open-access-options,Not Available,Unknown,Q1,Indexed,Not Available
American Journal of Perinatology,"Thieme Medical Publishers, Inc.",https://www.thieme.in/american-journal-of-perinatology,"2157-6998, 2157-7005",Has APC (See https://cdn0.scrvt.com/9ca5761af4a1cf7bf49dd51537e8f4d1/0cd2156449e6a3a5/bf08e18b76ea/Jan31_APC-list-price-for-2025.xlsx),Q2,Indexed,Not Available
Contraception,Elsevier,https://www.elsevier.com/journals/contraception/0010-7824/open-access-options,2590-1516,Has APC (See https://www.sciencedirect.com/journal/contraception-x/publish/open-access-options),Q1,Indexed,Not Available
Molecular Cancer Therapeutics,Nature Portfolio,https://aacrjournals.org/mct,2731-9377,Has APC (See https://www.nature.com/bjcreports/open-access),Q1,Indexed,Not Available
Current Oncology Reports,Elsevier,https://www.springer.com/journal/11912/how-to-publish-with-us#Fees%20and%20Funding,2666-6219,Has APC (See https://www.sciencedirect.com/journal/current-problems-in-cancer-case-reports/publish/open-access-options),Q1,Indexed,Not Available
Endocrine-Related Cancer,BioScientifica Ltd.,https://erc.bioscientifica.com/page/open-access/openaccess-policy,Not Available,Unknown,Q1,Indexed,Not Available
International Journal of Oncology,Tehran University of Medical Sciences,https://www.spandidos-publications.com/pages/ijo/info_for_authors,"2008-3009, 2008-2207",No APC (DOAJ),Q2,Indexed,Not Available
JCO Precision Oncology,Lippincott Williams and Wilkins,https://ascopubs.org/po/author-center/open-access,Not Available,Unknown,Q1,Indexed,Not Available
Cancer Gene Therapy,"KeAi Communications Co., Ltd.",https://www.nature.com/cgt/open-access#fees,2699-9404,Has APC (See https://www.keaipublishing.com/en/journals/global-medical-genetics/open-access/),Q1,Indexed,Not Available
Seminars in Radiation Oncology,W.B. Saunders,https://www.elsevier.com/journals/seminars-in-radiation-oncology/1053-4296/open-access-options,Not Available,Unknown,Q1,Indexed,Not Available
Seminars in Oncology,W.B. Saunders,https://www.elsevier.com/journals/seminars-in-oncology/0093-7754/open-access-options,Not Available,Unknown,Q1,Indexed,Not Available
