Journal Name,Publisher,APC,Review Time,Quartile,Scopus Status,Source URL
Canadian Oncology Nursing Journal,Pappin Communications,Not Available,Not Available,Not Available,Not Indexed (Coverage ended),https://journalsearches.com/journal.php?title=Canadian%20Oncology%20Nursing%20Journal
The Journal of Forensic Science Education,Texas Digital Library,No APC (DOAJ),10 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=The%20Journal%20of%20Forensic%20Science%20Education
Journal of Perioperative Nursing,Australian College of Perioperative Nurses,No APC (DOAJ),12 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Perioperative%20Nursing
Journal of Long-Term Care,LSE Press,Free (MU Directory),33 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Long-Term%20Care
Journal of Arrhythmia,Wiley,1540 USD (DOAJ),45 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Arrhythmia
Burns & Trauma,Oxford University Press,Free (MU Directory),Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Burns%20%26%20Trauma
Advances in Clinical Neuroscience & Rehabilitation,Whitehouse Publishing,Free (MU Directory),Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Advances%20in%20Clinical%20Neuroscience%20%26%20Rehabilitation
Murmurations,Everything is Connected Press,No APC (DOAJ),20 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Murmurations
Current Urology,Wolters Kluwer Health,Free (MU Directory),24 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Current%20Urology
Journal of Patient-Centered Research and Reviews,Aurora Health Care,Free (MU Directory),24 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Patient-Centered%20Research%20and%20Reviews
Renal Replacement Therapy,BMC,Free (MU Directory),19 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Renal%20Replacement%20Therapy
Indian Journal of Neurosurgery,"Thieme Medical Publishers, Inc.",Free (MU Directory),12 weeks,Q4,Not Indexed (Coverage ended),https://journalsearches.com/journal.php?title=Indian%20Journal%20of%20Neurosurgery
Journal of Pharmacy & Pharmaceutical Sciences,Canadian Society for Pharmaceutical Sciences,Free (MU Directory),Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Pharmacy%20%26%20Pharmaceutical%20Sciences
Journal of Early Hearing Detection and Intervention,Utah State University,No APC (DOAJ),16 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Early%20Hearing%20Detection%20and%20Intervention
European Journal of Health Communication (EJHC),"University of Zurich, IKMZ – Department of Communication and Media Research",No APC (DOAJ),48 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=European%20Journal%20of%20Health%20Communication%20%28EJHC%29
JMIR Dermatology,JMIR Publications,1500 USD (DOAJ),18 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=JMIR%20Dermatology
GE: Portuguese Journal of Gastroenterology,Karger Publishers,No APC (DOAJ),Not Available,Not Available,Not Available,https://journalsearches.com/journal.php?title=GE%3A%20Portuguese%20Journal%20of%20Gastroenterology
Progress in Orthodontics,SpringerOpen,Free (MU Directory),13 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Progress%20in%20Orthodontics
Health Promotion and Chronic Disease Prevention in Canada,Public Health Agency of Canada,No APC (DOAJ),40 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Health%20Promotion%20and%20Chronic%20Disease%20Prevention%20in%20Canada
Animal Diseases,BMC,Free (MU Directory),12 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Animal%20Diseases
Reumatismo,PAGEPress Publications,No APC (DOAJ),10 weeks,Q3,Not Indexed (Coverage ended),https://journalsearches.com/journal.php?title=Reumatismo
Asian Journal of Oncology,"Thieme Medical Publishers, Inc.",Free (MU Directory),22 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Asian%20Journal%20of%20Oncology
Norsk Epidemiologi,Norsk Forening for Epidemiologi,Not Available,12 weeks,Q3,Not Indexed (Coverage ended),https://journalsearches.com/journal.php?title=Norsk%20Epidemiologi
European Medical Journal Urology,European Medical Journal,Free (MU Directory),17 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=European%20Medical%20Journal%20Urology
Reconstructive Review,Joint Implant Surgery & Research Foundation,Free (MU Directory),Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Reconstructive%20Review
Christian Journal for Global Health,Health for All Nations,Free (MU Directory),8 weeks,Q4,Indexed,https://journalsearches.com/journal.php?title=Christian%20Journal%20for%20Global%20Health
International Journal of Health Preference Research,CybelePress,Not Available,Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=International%20Journal%20of%20Health%20Preference%20Research
AIMS Allergy and Immunology,American Institute of Mathematical Sciences,Free (MU Directory),4 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=AIMS%20Allergy%20and%20Immunology
Philosophy of Medicine,"University Library System, University of Pittsburgh",Free (MU Directory),12 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Philosophy%20of%20Medicine
World Journal of Pediatric Surgery,BMJ Publishing Group,Free (MU Directory),13 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=World%20Journal%20of%20Pediatric%20Surgery
Brain Science Advances,SAGE Publishing,No APC (DOAJ),10 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Brain%20Science%20Advances
Irish Journal of Paramedicine,Irish College of Paramedics,Not Available,Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Irish%20Journal%20of%20Paramedicine
Proceedings of Singapore Healthcare,SAGE Publishing,Free (MU Directory),15 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Proceedings%20of%20Singapore%20Healthcare
The Saudi Journal of Health Systems Research,Karger Publishers,No APC (DOAJ),6 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=The%20Saudi%20Journal%20of%20Health%20Systems%20Research
International Journal of Therapeutic Massage & Bodywork,Massage Therapy Foundation,No APC (DOAJ),Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=International%20Journal%20of%20Therapeutic%20Massage%20%26%20Bodywork
Therapeutic Advances in Ophthalmology,SAGE Publishing,Free (MU Directory),12 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Therapeutic%20Advances%20in%20Ophthalmology
Annals of Pediatric Surgery,SpringerOpen,Free (MU Directory),9 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Annals%20of%20Pediatric%20Surgery
Global Rheumatology,Panamerican League of Associations of Rheumatology (PANLAR),No APC (DOAJ),12 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Global%20Rheumatology
healthbook TIMES. Oncology Hematology,THE HEALTHBOOK COMPANY LTD.,No APC (DOAJ),6 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=healthbook%20TIMES.%20Oncology%20Hematology
Ain Shams Journal of Anesthesiology,SpringerOpen,Free (MU Directory),10 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Ain%20Shams%20Journal%20of%20Anesthesiology
Optometric Education,Association of Schools and Colleges of Optometry,No APC (DOAJ),30 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Optometric%20Education
Journal of Student-Run Clinics,Society of Student-Run Free Clinics,No APC (DOAJ),54 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Student-Run%20Clinics
Journal of the Georgia Public Health Association,Georgia Southern University,Free (MU Directory),10 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20the%20Georgia%20Public%20Health%20Association
Dr. Sulaiman Al Habib Medical Journal,Springer,Free (MU Directory),49 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Dr.%20Sulaiman%20Al%20Habib%20Medical%20Journal
BJPsych Bulletin,Cambridge University Press,Free (MU Directory),15 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=BJPsych%20Bulletin
Cooper Rowan Medical Journal,Rowan Digital Works,No APC (DOAJ),12 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Cooper%20Rowan%20Medical%20Journal
BME Frontiers,American Association for the Advancement of Science,Free (MU Directory),16 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=BME%20Frontiers
Impulse: The Premier Undergraduate Neuroscience Journal,Appalachian State University Honors College,Free (MU Directory),Not Available,Not Available,Not Available,https://journalsearches.com/journal.php?title=Impulse%3A%20The%20Premier%20Undergraduate%20Neuroscience%20Journal
Witness,York University Libraries,No APC (DOAJ),20 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Witness
Promotion de la santé et prévention des maladies chroniques au Canada,Agence de la santé publique du Canada,No APC (DOAJ),Not Available,Not Available,Not Available,https://journalsearches.com/journal.php?title=Promotion%20de%20la%20sant%C3%A9%20et%20pr%C3%A9vention%20des%20maladies%20chroniques%20au%20Canada
Reproductive and Developmental Medicine,Wolters Kluwer Health/LWW,Free (MU Directory),20 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Reproductive%20and%20Developmental%20Medicine
Surgical and Experimental Pathology,BMC,Free (MU Directory),37 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Surgical%20and%20Experimental%20Pathology
Journal of the Egyptian Public Health Association,SpringerOpen,Free (MU Directory),10 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20the%20Egyptian%20Public%20Health%20Association
European Respiratory Review,European Respiratory Society,Free (MU Directory),24 weeks,Q1,Not Indexed (Coverage ended),https://journalsearches.com/journal.php?title=European%20Respiratory%20Review
Oncobiology and Targets,HATASO,Free (MU Directory),Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Oncobiology%20and%20Targets
Basic and Applied Myology,Unipress Padova,No APC (DOAJ),10 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Basic%20and%20Applied%20Myology
Journal of Medical Physics,Wolters Kluwer Medknow Publications,Free (MU Directory),25 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Medical%20Physics
Pediatric Anesthesia and Critical Care Journal (PACCJ),Pediatric Anesthesia and Critical Care Journal,530 EUR (DOAJ),4 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Pediatric%20Anesthesia%20and%20Critical%20Care%20Journal%20%28PACCJ%29
Neuropsychological Trends,LED Edizioni Universitarie,No APC (DOAJ),12 weeks,Q4,Indexed,https://journalsearches.com/journal.php?title=Neuropsychological%20Trends
Observational Studies,University of Pennsylvania Press,No APC (DOAJ),20 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Observational%20Studies
Egyptian Rheumatologist,Elsevier,Not Available,Not Available,Q3,Indexed,https://journalsearches.com/journal.php?title=Egyptian%20Rheumatologist
Journal of Geriatric Mental Health,Wolters Kluwer Medknow Publications,Free (MU Directory),23 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Geriatric%20Mental%20Health
Journal of Craniovertebral Junction and Spine,Wolters Kluwer Medknow Publications,Free (MU Directory),13 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Craniovertebral%20Junction%20and%20Spine
Indian Journal of Paediatric Dermatology,Wolters Kluwer Medknow Publications,Free (MU Directory),16 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Indian%20Journal%20of%20Paediatric%20Dermatology
Journal of Vector Borne Diseases,Wolters Kluwer Medknow Publications,Free (MU Directory),15 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Vector%20Borne%20Diseases
Muller Journal of Medical Sciences and Research,Wolters Kluwer Medknow Publications,Free (MU Directory),27 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Muller%20Journal%20of%20Medical%20Sciences%20and%20Research
Journal of the Indian Academy of Geriatrics,Wolters Kluwer Medknow Publications,Free (MU Directory),17 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20the%20Indian%20Academy%20of%20Geriatrics
Journal of Postgraduate Medicine,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Q3,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Postgraduate%20Medicine
Saudi Journal of Kidney Diseases and Transplantation,Wolters Kluwer Medknow Publications,Free (MU Directory),18 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Saudi%20Journal%20of%20Kidney%20Diseases%20and%20Transplantation
Saudi Endodontic Journal,Wolters Kluwer Medknow Publications,Free (MU Directory),32 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Saudi%20Endodontic%20Journal
Journal of Clinical Ophthalmology and Research,Wolters Kluwer Medknow Publications,Free (MU Directory),21 weeks,Q4,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Clinical%20Ophthalmology%20and%20Research
Hellenic Journal of Cardiology,Elsevier,No APC (DOAJ),52 weeks,Q2,Not Indexed (Coverage ended),https://journalsearches.com/journal.php?title=Hellenic%20Journal%20of%20Cardiology
"Cancer Research, Statistics, and Treatment",Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Available,Not Available,https://journalsearches.com/journal.php?title=Cancer%20Research%2C%20Statistics%2C%20and%20Treatment
MAMC Journal of Medical Sciences,Wolters Kluwer Medknow Publications,Free (MU Directory),18 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=MAMC%20Journal%20of%20Medical%20Sciences
The Journal of Indian Prosthodontic Society,Wolters Kluwer Medknow Publications,Free (MU Directory),18 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=The%20Journal%20of%20Indian%20Prosthodontic%20Society
Urological Science,Wolters Kluwer Medknow Publications,Free (MU Directory),15 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Urological%20Science
Archives of Mental Health,Wolters Kluwer Medknow Publications,Free (MU Directory),44 weeks,Q4,Indexed,https://journalsearches.com/journal.php?title=Archives%20of%20Mental%20Health
Archives of Medicine and Health Sciences,Wolters Kluwer Medknow Publications,Free (MU Directory),25 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Archives%20of%20Medicine%20and%20Health%20Sciences
Journal of Nature and Science of Medicine,Wolters Kluwer Medknow Publications,Free (MU Directory),28 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Nature%20and%20Science%20of%20Medicine
Apollo Medicine,Wolters Kluwer Medknow Publications,Free (MU Directory),13 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Apollo%20Medicine
Indian Dermatology Online Journal,Wolters Kluwer Medknow Publications,Free (MU Directory),34 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=Indian%20Dermatology%20Online%20Journal
Journal of Mid-Life Health,Wolters Kluwer Medknow Publications,Free (MU Directory),23 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Mid-Life%20Health
Journal of Indian Society of Pedodontics and Preventive Dentistry,Wolters Kluwer Medknow Publications,10000 INR (DOAJ),17 weeks,Q2,Not Indexed (Coverage ended),https://journalsearches.com/journal.php?title=Journal%20of%20Indian%20Society%20of%20Pedodontics%20and%20Preventive%20Dentistry
Indian Journal of Medical Research,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Q2,Not Indexed (Coverage ended),https://journalsearches.com/journal.php?title=Indian%20Journal%20of%20Medical%20Research
Research in Cardiovascular Medicine,Wolters Kluwer Medknow Publications,Free (MU Directory),25 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Research%20in%20Cardiovascular%20Medicine
World Journal of Traditional Chinese Medicine,Wolters Kluwer Medknow Publications,No APC (DOAJ),24 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=World%20Journal%20of%20Traditional%20Chinese%20Medicine
Revista Portuguesa de Cardiologia,Elsevier,No APC (DOAJ),36 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Revista%20Portuguesa%20de%20Cardiologia
Journal of Surgical Specialties and Rural Practice,Wolters Kluwer Medknow Publications,Free (MU Directory),33 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Surgical%20Specialties%20and%20Rural%20Practice
Dentistry and Medical Research,Wolters Kluwer Medknow Publications,Free (MU Directory),17 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Dentistry%20and%20Medical%20Research
Chinese Journal of Traumatology,Elsevier,No APC (DOAJ),28 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Chinese%20Journal%20of%20Traumatology
Journal of Diabetology,Wolters Kluwer Medknow Publications,Free (MU Directory),19 weeks,Q4,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Diabetology
Nefrología (English Edition),Elsevier,No APC (DOAJ),Not Available,Not Available,Not Available,https://journalsearches.com/journal.php?title=Nefrolog%C3%ADa%20%28English%20Edition%29
Current Medicine Research and Practice,Wolters Kluwer Medknow Publications,Free (MU Directory),18 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Current%20Medicine%20Research%20and%20Practice
Taiwan Journal of Ophthalmology,Wolters Kluwer Medknow Publications,Free (MU Directory),11 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=Taiwan%20Journal%20of%20Ophthalmology
Eurasian Journal of Pulmonology,Wolters Kluwer Medknow Publications,Not Available,4 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Eurasian%20Journal%20of%20Pulmonology
Indian Journal of Health Sciences and Biomedical Research KLEU,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Indian%20Journal%20of%20Health%20Sciences%20and%20Biomedical%20Research%20KLEU
Turkish Journal of Plastic Surgery,Wolters Kluwer Medknow Publications,Free (MU Directory),21 weeks,Q4,Not Indexed (Coverage ended),https://journalsearches.com/journal.php?title=Turkish%20Journal%20of%20Plastic%20Surgery
Journal of Orofacial Sciences,Wolters Kluwer Medknow Publications,Free (MU Directory),21 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Orofacial%20Sciences
Kerala Journal of Ophthalmology,Wolters Kluwer Medknow Publications,Free (MU Directory),21 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Kerala%20Journal%20of%20Ophthalmology
Asian Journal of Social Health and Behavior,Wolters Kluwer Medknow Publications,Free (MU Directory),18 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Asian%20Journal%20of%20Social%20Health%20and%20Behavior
Tzu-Chi Medical Journal,Wolters Kluwer Medknow Publications,Free (MU Directory),4 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Tzu-Chi%20Medical%20Journal
Annals of Movement Disorders,Wolters Kluwer Medknow Publications,Free (MU Directory),37 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Annals%20of%20Movement%20Disorders
Hamdan Medical Journal,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Hamdan%20Medical%20Journal
Asian Pacific Journal of Tropical Medicine,Wolters Kluwer Medknow Publications,Free (MU Directory),19 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Asian%20Pacific%20Journal%20of%20Tropical%20Medicine
Journal of Sport and Health Science,Elsevier,No APC (DOAJ),22 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Sport%20and%20Health%20Science
Indian Journal of Psychological Medicine,SAGE Publishing,Free (MU Directory),12 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=Indian%20Journal%20of%20Psychological%20Medicine
Indian Journal of Allergy Asthma and Immunology,Wolters Kluwer Medknow Publications,Free (MU Directory),16 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Indian%20Journal%20of%20Allergy%20Asthma%20and%20Immunology
Indian Journal of Respiratory Care,Wolters Kluwer Medknow Publications,No APC (DOAJ),16 weeks,Not Available,Indexed,https://journalsearches.com/journal.php?title=Indian%20Journal%20of%20Respiratory%20Care
Journal of the Scientific Society,Wolters Kluwer Medknow Publications,Free (MU Directory),48 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20the%20Scientific%20Society
Journal of Indian Orthodontic Society,SAGE Publishing,No APC (DOAJ),10 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Indian%20Orthodontic%20Society
TNOA Journal of Ophthalmic Science and Research,Wolters Kluwer Medknow Publications,Free (MU Directory),23 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=TNOA%20Journal%20of%20Ophthalmic%20Science%20and%20Research
Annals of Cardiac Anaesthesia,Wolters Kluwer Medknow Publications,Free (MU Directory),31 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Annals%20of%20Cardiac%20Anaesthesia
Heart Views,Wolters Kluwer Medknow Publications,Free (MU Directory),25 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Heart%20Views
Brain Circulation,Wolters Kluwer Medknow Publications,Free (MU Directory),26 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Brain%20Circulation
Acta Medica International,Wolters Kluwer Medknow Publications,Not Available,25 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Acta%20Medica%20International
"Journal of Orthopedics, Traumatology and Rehabilitation",Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Available,Not Available,https://journalsearches.com/journal.php?title=Journal%20of%20Orthopedics%2C%20Traumatology%20and%20Rehabilitation
Journal of Pharmaceutical Analysis,Elsevier,1850 USD (DOAJ),22 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Pharmaceutical%20Analysis
Telangana Journal of Psychiatry,Wolters Kluwer Medknow Publications,Free (MU Directory),19 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Telangana%20Journal%20of%20Psychiatry
Journal of Integrative Nursing,Wolters Kluwer Medknow Publications,Free (MU Directory),20 weeks,Q4,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Integrative%20Nursing
Indian Journal of Rheumatology,Wolters Kluwer Medknow Publications,Free (MU Directory),8 weeks,Q4,Indexed,https://journalsearches.com/journal.php?title=Indian%20Journal%20of%20Rheumatology
Journal of Taibah University Medical Sciences,Elsevier,625 USD (DOAJ),43 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Taibah%20University%20Medical%20Sciences
Archives of Trauma Research,Wolters Kluwer Medknow Publications,Free (MU Directory),8 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Archives%20of%20Trauma%20Research
Saudi Journal of Anaesthesia,Wolters Kluwer Medknow Publications,Free (MU Directory),23 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=Saudi%20Journal%20of%20Anaesthesia
Cancer Translational Medicine,Wolters Kluwer Medknow Publications,Not Available,Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Cancer%20Translational%20Medicine
Bali Journal of Anesthesiology,Wolters Kluwer Medknow Publications,Free (MU Directory),18 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Bali%20Journal%20of%20Anesthesiology
Journal of Clinical and Scientific Research,Wolters Kluwer Medknow Publications,Free (MU Directory),35 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Clinical%20and%20Scientific%20Research
Journal of Head & Neck Physicians and Surgeons,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Head%20%26%20Neck%20Physicians%20and%20Surgeons
Journal of Limb Lengthening & Reconstruction,Wolters Kluwer Medknow Publications,400 USD (DOAJ),Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Limb%20Lengthening%20%26%20Reconstruction
Annals of Thoracic Medicine,Wolters Kluwer Medknow Publications,32000 INR (DOAJ),29 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=Annals%20of%20Thoracic%20Medicine
Journal of Optometry,Elsevier,1680 USD (DOAJ),12 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Optometry
Revista de Gastroenterología de México (English Edition),Elsevier,1200 USD (DOAJ),Not Available,Not Available,Not Available,https://journalsearches.com/journal.php?title=Revista%20de%20Gastroenterolog%C3%ADa%20de%20M%C3%A9xico%20%28English%20Edition%29
Indian Journal of Anaesthesia,Wolters Kluwer Medknow Publications,Free (MU Directory),17 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=Indian%20Journal%20of%20Anaesthesia
Indian Journal of Urology,Wolters Kluwer Medknow Publications,Free (MU Directory),16 weeks,Q3,Not Indexed (Coverage ended),https://journalsearches.com/journal.php?title=Indian%20Journal%20of%20Urology
International Journal of the Cardiovascular Academy,Wolters Kluwer Medknow Publications,Free (MU Directory),24 weeks,Q4,Not Indexed (Coverage ended),https://journalsearches.com/journal.php?title=International%20Journal%20of%20the%20Cardiovascular%20Academy
Journal of Current Research in Scientific Medicine,Wolters Kluwer Medknow Publications,Free (MU Directory),10 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Current%20Research%20in%20Scientific%20Medicine
Scientific Dental Journal,Wolters Kluwer Medknow Publications,Free (MU Directory),23 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Scientific%20Dental%20Journal
International Journal of Noncommunicable Diseases,Wolters Kluwer Medknow Publications,Free (MU Directory),15 weeks,Q4,Indexed,https://journalsearches.com/journal.php?title=International%20Journal%20of%20Noncommunicable%20Diseases
Vascular Investigation and Therapy,Wolters Kluwer Medknow Publications,Free (MU Directory),11 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Vascular%20Investigation%20and%20Therapy
Journal of Cutaneous and Aesthetic Surgery,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Q2,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Cutaneous%20and%20Aesthetic%20Surgery
Ancient Science of Life,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Ancient%20Science%20of%20Life
Journal of the Practice of Cardiovascular Sciences,Wolters Kluwer Medknow Publications,Free (MU Directory),14 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20the%20Practice%20of%20Cardiovascular%20Sciences
Journal of Medical Evidence,Wolters Kluwer Medknow Publications,Free (MU Directory),21 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Medical%20Evidence
Indian Journal of Nephrology,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Q3,Indexed,https://journalsearches.com/journal.php?title=Indian%20Journal%20of%20Nephrology
Journal of Cancer Research and Practice,Wolters Kluwer Medknow Publications,Free (MU Directory),11 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Cancer%20Research%20and%20Practice
Turkish Journal of Emergency Medicine,Wolters Kluwer Medknow Publications,Free (MU Directory),24 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=Turkish%20Journal%20of%20Emergency%20Medicine
Journal of Indian Society of Periodontology,Wolters Kluwer Medknow Publications,Free (MU Directory),20 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Indian%20Society%20of%20Periodontology
Saudi Journal of Medicine and Medical Sciences,Wolters Kluwer Medknow Publications,Free (MU Directory),35 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Saudi%20Journal%20of%20Medicine%20and%20Medical%20Sciences
Indian Spine Journal,Wolters Kluwer Medknow Publications,Free (MU Directory),35 weeks,Q4,Indexed,https://journalsearches.com/journal.php?title=Indian%20Spine%20Journal
